P1	Hybrid	P2	Zscore	Pvalue	Gamma	AAAA	AAAB	AABA	AABB	AABC	ABAA	ABAB	ABAC	ABBA	BAAA	ABBC	CABC	BACA	BCAA	ABCD
scouleri	menziesii_UWTL_5	fruticosus	1.574394394732997	0.057698156893809305	0.8891981224610158	25018286.421875	3217746.578125	2420490.828125	1319204.890625	896283.78125	3188541.015625	1264064.765625	1017332.96875	1706570.765625	13791790.140625	3086371.59375	915440.71875	2086874.84375	2329129.28125	604851.40625
scouleri	menziesii_UWTL_7	fruticosus	-37.468750537297346	1.0	0.5096190135899273	23977789.90625	2260466.46875	2839243.40625	723916.28125	528161.6875	2663317.15625	1729915.34375	710417.875	684450.15625	10562038.84375	1069716.375	545337.875	2978368.0	1160615.8125	259589.8125
scouleri	menziesii_UWTL_8	fruticosus	-12.735968725000555	1.0	0.47018282506753856	24643616.875	2674650.25	2422471.25	1008276.1875	671503.6875	3052774.375	1460288.75	869753.5	1059153.125	12178923.4375	1888253.8125	619792.875	2423383.1875	1722727.125	400483.5625
scouleri	menziesii_BWS_103_2	davidsonii	0.8980378535617837	0.18458265455545209	0.9419012440333095	10896091.203125	1196519.296875	2280544.609375	591635.734375	460822.90625	1220910.171875	576432.796875	289527.03125	822903.921875	5632824.609375	1211464.21875	643416.34375	1076472.03125	923290.53125	218447.59375
scouleri	menziesii_BWS_103_9	davidsonii	10.509595277235203	0.0	0.6948391619614112	11768587.015625	1379449.734375	1501254.859375	673028.859375	484116.28125	1540157.609375	503317.359375	354209.03125	889743.734375	6155352.921875	1488041.84375	549611.53125	915411.09375	1111056.59375	268307.53125
scouleri	menziesii_BWS_104_5	davidsonii	21.983690652556415	0.0	0.652778960111234	12645302.9375	1886484.5	905528.625	868984.6875	603613.25	2021198.25	462123.3125	570406.0	1227026.6875	7168656.25	2320373.375	553347.75	779559.625	1543984.125	430556.625
scouleri	menziesii_OSTL_4	davidsonii	-2.631004758531629	0.9957433186182006	0.836607329266605	11922728.65625	924650.53125	1067696.90625	479698.65625	285434.25	1574375.34375	518291.21875	204451.5	320688.59375	5312192.53125	486232.6875	238263.25	918860.6875	744110.5625	93021.625
scouleri	menziesii_UWTL_1	davidsonii	-3.187847108425584	0.9992832537141457	0.7752503821491673	12247171.5625	1086827.8125	795417.5625	480165.75	247669.8125	1672420.5625	525451.0	258719.8125	369244.25	5455095.625	618841.5	215496.8125	889879.75	791216.0	104393.1875
scouleri	menziesii_UWTL_2	davidsonii	15.094356665056527	0.0	0.6398787272584603	12368283.34375	1632983.15625	1022790.78125	758246.71875	481145.0	1860540.84375	496365.15625	464538.75	961687.40625	6563542.65625	1753622.9375	492508.375	851372.5625	1340666.1875	330061.125
scouleri	menziesii_UWTL_22_SHL_19.68	davidsonii	-9.286648509503433	1.0	0.5229718311814966	11331152.28125	941396.28125	1665866.65625	477619.03125	341128.25	1337171.15625	617176.15625	198447.375	464177.96875	5036357.90625	638380.0625	402690.9375	1146608.5	711321.375	120300.0625
scouleri	menziesii_UWTL_5	davidsonii	15.483420168516414	0.0	0.6409915618146992	12303404.578125	1517882.796875	1020040.359375	698895.046875	453817.21875	1755573.484375	441001.671875	385699.46875	901457.359375	6501324.796875	1618638.96875	455502.71875	772293.34375	1199153.84375	281569.34375
scouleri	menziesii_UWTL_7	davidsonii	-7.530047337118071	0.9999999999999745	0.7233377987242401	11880846.0	924650.4375	1099540.5625	453524.75	251669.25	1545093.125	555663.4375	201069.25	288620.1875	5141953.875	411269.25	239785.375	986950.625	711405.25	82407.625
scouleri	menziesii_UWTL_8	davidsonii	2.811212644887272	0.0024678191230216306	0.4787985290343759	12152656.5	1208309.9375	980077.4375	557522.75	345047.875	1697259.4375	507509.625	306804.75	553453.875	5768270.3125	968666.375	303936.75	877139.875	919790.0	174076.5
